,subject,epoch,score,rho,axlambda,dx,dy,drot,final
0,52-001,0,999999,198.1,1995.7,0,0,0,False
1,52-001,0,6.829150591131162,199.51958591894686,1990.2058753495432,-15,50,2,False
2,52-001,1,6.771076577883852,199.5608391806614,1960.2058753495432,-20.0,0.0,2.75,False
3,52-001,2,6.6861001344802435,196.6036642717591,1931.9102201270093,-20.0,5.0,2.75,False
4,52-001,3,6.6861001344802435,196.6036642717591,1931.9102201270093,-20.0,5.0,2.75,True
